#def REPORTPATH=$/QAD Addons/BI Report/xxpcwocr
#def :end
"年份";"期间";"地点代码";"地点说明";"件号";"件名";"加工单";"成本要素代码";"成本要素说明";"期初总成";"期间非领料总成";"期间领料总成";"期间一次加权平均成本";"期末总成"
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"28458";"41";"制1折旧";0;13.51075;0;15.88315;15.88315
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"29196";"34";"制1其他变动";0;25.94064;0;30.49572;30.49572
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"29196";"36";"制2其他变动";0;6.48516;0;7.62393;7.62393
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"29196";"41";"制1折旧";0;10.8086;0;12.70655;12.70655
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"28348";"34";"制1其他变动";0;355.62996;0;418.07736;418.07736
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"28348";"36";"制2其他变动";0;88.90749;0;104.51934;104.51934
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"28348";"41";"制1折旧";0;148.17915;0;174.1989;174.1989
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"28370";"34";"制1其他变动";0;581.93988;0;684.12648;684.12648
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"28370";"36";"制2其他变动";0;145.48497;0;171.03162;171.03162
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"28370";"41";"制1折旧";0;242.47495;0;285.0527;285.0527
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"28385";"34";"制1其他变动";0;64.65996;0;76.014;76.014
