#def REPORTPATH=$/QAD Addons/BI Report/xxpcwoip
#def :end
"年份";"期间";"地点代码";"地点说明";"父件代码";"父件说明";"子件代码";"子件说明";"领料数量"
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"8.02.13.02";"82121-STK7-A010-40-0000 2RS-拉链,520×40,556色";-600
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"8.02.13.04";"82121-STK7-A010-41-0000 2RS-拉链,520×40,556色";-600
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"8.02.15.05";"T110000-0000-0350-00 2RS-树脂扣， L=350";-600
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"8.02.16.03";"82121-STK9-A110-31-0000 2RS-不织布 H30 X L250";-1200
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"8.02.16.04";"82121-STK7-A010-32-0002 2RS-不织布 H25 X L430";-600
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"8.02.17.01";"82121-STK7-A010-21-0001 2RS-PP T2.0 X H65 X L360";-600
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"8.02.17.02";"T103000-0000-0350-00 2RS-PP板 L=350";-600
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"8.02.20.02";"43013D5-S5A4-A000 ISO纽扣 YR164L(棕)";-1200
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"8.02.20.03";"43013D6-S5A4-A100 ISO纽扣 熔着(B)";-1200
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"3.02.05.11.00";"2RS-556-牛皮裁片RC/L组合 ";-595
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"4.02.05.11.01.00";"RCLA00KA--STK9DK01 2RS-556色RC/L-1牛皮裁片";-11
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"4.02.05.11.02.00";"RCLA00KB--STK9DK01 2RS-556色RC/L-2牛皮裁片";-13
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"4.02.05.11.03.00";"RCLA00KC--STK9DK01 2RS-556色RC/L-3牛皮裁片";-25
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"4.02.05.11.04.00";"RCLA00KD--STK9DK01 2RS-556色RC/L-4牛皮裁片";-15
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"4.02.05.11.05.00";"RCLA00KG--STK9DK01 2RS-556色RC/L-5牛皮裁片";-16
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"7.A0-RCL.556";"ZQ-S91组合RCL.566 ";-642
