#def REPORTPATH=$/QAD Addons/BI Report/xxpcwoiw
#def :end
"年份";"期间";"地点代码";"地点说明";"父件代码";"父件说明";"加工单";"子件代码";"子件说明";"领料数量";"过程加工单"
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33756";"8.02.23.01";"4102398-S870-A802 2RS-1号商标，NH167L";-108;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33756";"8.02.27.01";"Z42101-00040-0580-25 2RS-1号魔术贴";-498;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"39115";"8.02.23.02";"4102398-S870-A802 2RS-2号商标，NH556L";-11;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"45289";"4.02.05.02.06.00";"FBLA12KF--STK9RK01 2RS-556色FB/L-6牛皮裁片";0;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"33268";"3.02.05.03.00";"2RS-556-牛皮裁片FB/R组合 ";-24;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"33268";"4.02.05.03.01.00";"FBRA12KA--STK9RK01 2RS-556色FB/R-1牛皮裁片";-12;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"33268";"7.A1-FBR.556";"ZQ-S91组合FBR.566 ";-24;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"33268";"8.02.14.01";"81121-STK9-A000-KW-0001 2RS-1号力布，R，JF";-24;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"33268";"8.02.14.02";"81121-STK9-A000-KX-0001 2RS-2号力布，R，JE";-24;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"33268";"8.02.15.01";"T104000-0000-0035-01 2RS-树脂扣，L=35";-72;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"33268";"8.02.15.02";"T104000-0000-0025-01 2RS-树脂扣，L=25";-144;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"33268";"8.02.15.03";"T104000-0000-0130-01 2RS-树脂扣，L=130";-24;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"33268";"8.02.15.04";"81121-TA08-A210-23-0000 2RS-树脂扣，H25.1 X L90";-48;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"33268";"8.02.16.01";"81121-STK9-A110-22-0000 2RS-不织布 H30 X L240";-48;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"33268";"8.02.16.02";"81121-STK9-A110-21-0000 2RS-不织布 H30 X L545";-48;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"33268";"8.02.23.02";"4102398-S870-A802 2RS-2号商标，NH556L";-24;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"33268";"8.02.27.01";"Z42101-00040-0580-25 2RS-1号魔术贴";-48;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"33342";"3.02.05.03.00";"2RS-556-牛皮裁片FB/R组合 ";-162;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"33342";"4.02.05.03.02.00";"FBRA11KB--STK9RK 2RS-556色FB/R-2牛皮裁片";-20;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"33342";"7.A1-FBR.556";"ZQ-S91组合FBR.566 ";-162;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"33342";"8.02.14.01";"81121-STK9-A000-KW-0001 2RS-1号力布，R，JF";-162;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"33342";"8.02.14.02";"81121-STK9-A000-KX-0001 2RS-2号力布，R，JE";-162;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"33342";"8.02.15.01";"T104000-0000-0035-01 2RS-树脂扣，L=35";-486;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"33342";"8.02.15.02";"T104000-0000-0025-01 2RS-树脂扣，L=25";-972;""
