#def REPORTPATH=$/QAD Addons/BI Report/xxpcwips
#def :end
年;期;地点;;父零件;;;子零件;;;成本要素;;合计;;;第1次;;
份;间;代码;说明;代码;说明;加工单;代码;说明;用量;代码;说明;领料均成;领料总成;入库总成;领料均成;领料总成;入库总成
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28368;7.A1-FBL.556;ZQ-S91组合FBL.556 ;30;22;品质人工;.0024014706;.072044118;.072044118;.0024014706;.072044118;.072044118
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28368;7.A1-FBL.556;ZQ-S91组合FBL.556 ;30;23;制2人工;.0891479202;2.674437606;2.674437606;.0891479202;2.674437606;2.674437606
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28368;7.A1-FBL.556;ZQ-S91组合FBL.556 ;30;24;制1福利费;.0412280042;1.236840126;1.236840126;.0412280042;1.236840126;1.236840126
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28368;7.A1-FBL.556;ZQ-S91组合FBL.556 ;30;25;品质福利费;.0222365756;.667097268;.667097268;.0222365756;.667097268;.667097268
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28368;7.A1-FBL.556;ZQ-S91组合FBL.556 ;30;26;制2福利费;.0048029412;.144088236;.144088236;.0048029412;.144088236;.144088236
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28368;7.A1-FBL.556;ZQ-S91组合FBL.556 ;30;34;制1其他变动;.0617887185;1.853661555;1.853661555;.0617887185;1.853661555;1.853661555
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28368;7.A1-FBL.556;ZQ-S91组合FBL.556 ;30;35;品质其他变动;.1656547059;4.969641177;4.969641177;.1656547059;4.969641177;4.969641177
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28368;7.A1-FBL.556;ZQ-S91组合FBL.556 ;30;36;制2其他变动;.0478766387;1.436299161;1.436299161;.0478766387;1.436299161;1.436299161
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28368;7.A1-FBL.556;ZQ-S91组合FBL.556 ;30;41;制1折旧;.3077053782;9.231161346;9.231161346;.3077053782;9.231161346;9.231161346
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28368;7.A1-FBL.556;ZQ-S91组合FBL.556 ;30;42;品质折旧;.0289219958;.867659874;.867659874;.0289219958;.867659874;.867659874
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28368;7.A1-FBL.556;ZQ-S91组合FBL.556 ;30;43;制2折旧;.1996027311;5.988081933;5.988081933;.1996027311;5.988081933;5.988081933
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28368;7.A1-FBL.556;ZQ-S91组合FBL.556 ;30;44;制1其他固定;.163764958;4.91294874;4.91294874;.163764958;4.91294874;4.91294874
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28368;8.02.14.03;81521-STK9-A000-KW-0001 2RS-3号力布，L，JH;30;1;直接材料;5.5999858307;167.999574921;167.999574921;5.5999858307;167.999574921;167.999574921
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28368;8.02.14.04;81521-STK9-A000-KX-0001 2RS-4号力布，L JG;30;1;直接材料;5.2879337094;158.638011282;158.638011282;5.2879337094;158.638011282;158.638011282
