#def REPORTPATH=$/QAD Addons/BI Report/xxpcincr
#def :end
"年份";"期间";"地点代码";"地点说明";"件号";"件名";"成本要素代码";"成本要素说明";"期初总成";"期间非入库总成";"期间入库总成";"期间一次加权平均成本";"期末总成"
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"42";"品质折旧";208.30485;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"43";"制2折旧";1437.5983;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"44";"制1其他固定";1179.48395;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.12.00";"2RS-556色RC/R-部位 ";"1";"直接材料";60852.6;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.12.00";"2RS-556色RC/R-部位 ";"21";"制1人工";735.06215;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.12.00";"2RS-556色RC/R-部位 ";"22";"品质人工";15.62758;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.12.00";"2RS-556色RC/R-部位 ";"23";"制2人工";580.1297;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.12.00";"2RS-556色RC/R-部位 ";"24";"制1福利费";268.29104;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.12.00";"2RS-556色RC/R-部位 ";"25";"品质福利费";144.70437;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.12.00";"2RS-556色RC/R-部位 ";"26";"制2福利费";31.25516;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.12.00";"2RS-556色RC/R-部位 ";"34";"制1其他变动";494.89313;0;99422.96832;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.12.00";"2RS-556色RC/R-部位 ";"35";"品质其他变动";1326.80185;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.12.00";"2RS-556色RC/R-部位 ";"36";"制2其他变动";383.46518;0;24855.74208;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.12.00";"2RS-556色RC/R-部位 ";"41";"制1折旧";2464.54838;0;41426.2368;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.12.00";"2RS-556色RC/R-部位 ";"42";"品质折旧";231.64907;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.12.00";"2RS-556色RC/R-部位 ";"43";"制2折旧";1598.7065;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.12.00";"2RS-556色RC/R-部位 ";"44";"制1其他固定";1311.66589;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.14.00";"2RS-556色RBS/L-部位 ";"1";"直接材料";6949.49;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.14.00";"2RS-556色RBS/L-部位 ";"21";"制1人工";83.947;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.14.00";"2RS-556色RBS/L-部位 ";"22";"品质人工";1.78473;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.14.00";"2RS-556色RBS/L-部位 ";"23";"制2人工";66.2531;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.14.00";"2RS-556色RBS/L-部位 ";"24";"制1福利费";30.6399;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.14.00";"2RS-556色RBS/L-部位 ";"25";"品质福利费";16.52581;0;0;0;0
