#def REPORTPATH=$/QAD Addons/BI Report/xxpctrcr
#def :end
"年份";"期间";"地点代码";"地点说明";"件号";"件名";"事务类型";"数量";"不计成本数量";"计算成本数量";"成本要素代码";"成本要素说明";"总成";"均成"
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"RCT-WO";593;0;593;"21";"制1人工";2750.2795647658;4.6379082037
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"RCT-WO";593;0;593;"22";"品质人工";260.5562397234;.4393865763
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"RCT-WO";593;0;593;"23";"制2人工";970.5752904025;1.6367205572
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"RCT-WO";593;0;593;"24";"制1福利费";1739.3581415373;2.933150323
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"RCT-WO";593;0;593;"25";"品质福利费";396.5612326905;.6687373233
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"RCT-WO";593;0;593;"26";"制2福利费";56.2997050987;.0949404808
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"RCT-WO";593;0;593;"34";"制1其他变动";3265.8220083628;5.5072883784
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"RCT-WO";593;0;593;"35";"品质其他变动";2799.1230913246;4.7202750275
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"RCT-WO";593;0;593;"36";"制2其他变动";834.380458582;1.4070496772
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"RCT-WO";593;0;593;"41";"制1折旧";10437.7573272659;17.6016143799
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"RCT-WO";593;0;593;"42";"品质折旧";593.4934114824;1.0008320598
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"RCT-WO";593;0;593;"43";"制2折旧";2748.5105459306;4.6349250353
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"RCT-WO";593;0;593;"44";"制1其他固定";14322.8890985429;24.1532699807
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"ISS-SO";-300;0;-300;"1";"直接材料";-48611.29671117;162.0376557039
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"ISS-SO";-300;0;-300;"11";"材料价格差异";-1486.01937984;4.9533979328
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"ISS-SO";-300;0;-300;"21";"制1人工";-1034.89593351;3.4496531117
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"ISS-SO";-300;0;-300;"22";"品质人工";-78.11047746;.2603682582
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"ISS-SO";-300;0;-300;"23";"制2人工";-517.04240697;1.7234746899
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"ISS-SO";-300;0;-300;"24";"制1福利费";-568.29826485;1.8943275495
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"ISS-SO";-300;0;-300;"25";"品质福利费";-169.26244845;.5642081615
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"ISS-SO";-300;0;-300;"26";"制2福利费";-29.16750006;.0972250002
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"ISS-SO";-300;0;-300;"34";"制1其他变动";-1132.78185954;3.7759395318
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"ISS-SO";-300;0;-300;"35";"品质其他变动";-1505.29136445;5.0176378815
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"ISS-SO";-300;0;-300;"36";"制2其他变动";-454.62994038;1.5154331346
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"ISS-SO";-300;0;-300;"41";"制1折旧";-4131.75312906;13.7725104302
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"ISS-SO";-300;0;-300;"42";"品质折旧";-291.60621345;.9720207115
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"ISS-SO";-300;0;-300;"43";"制2折旧";-1656.29650395;5.5209883465
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"ISS-SO";-300;0;-300;"44";"制1其他固定";-4470.65389404;14.9021796468
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"ISS-TR";-901;0;-901;"1";"直接材料";-145995.9277892139;162.0376557039
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"ISS-TR";-901;0;-901;"11";"材料价格差异";-4463.0115374528;4.9533979328
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"ISS-TR";-901;0;-901;"21";"制1人工";-3108.1374536417;3.4496531117
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"ISS-TR";-901;0;-901;"22";"品质人工";-234.5918006382;.2603682582
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"ISS-TR";-901;0;-901;"23";"制2人工";-1552.8506955999;1.7234746899
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"ISS-TR";-901;0;-901;"24";"制1福利费";-1706.7891220995;1.8943275495
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"ISS-TR";-901;0;-901;"25";"品质福利费";-508.3515535115;.5642081615
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"ISS-TR";-901;0;-901;"26";"制2福利费";-87.5997251802;.0972250002
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"ISS-TR";-901;0;-901;"34";"制1其他变动";-3402.1215181518;3.7759395318
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"ISS-TR";-901;0;-901;"35";"品质其他变动";-4520.8917312315;5.0176378815
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"ISS-TR";-901;0;-901;"36";"制2其他变动";-1365.4052542746;1.5154331346
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"ISS-TR";-901;0;-901;"41";"制1折旧";-12409.0318976102;13.7725104302
