
工单号             工单标志   工序 项目号                   订购数       合格数       报废数
G0902A00188-21     782542        5 32-485051                  36.0         36.0          0.0
G0902A00188-21     782542       15 32-485051                  36.0          0.0          0.0
G0902A00188-21     782542       20 32-485051                  36.0          0.0          0.0
G0902A00201-11     783571        5 402642-R05                 10.0          9.0          1.0
G0902A00201-11     783567       15 402642                     10.0          9.0          0.0
G0902A00201-11     783567       20 402642                     10.0          9.0          0.0
G0902A00201-11     783567       23 402642                     10.0          9.0          0.0
G0902A00201-11     783567       25 402642                     10.0          9.0          0.0
G0902A00201-11     783567       30 402642                     10.0          9.0          0.0
G0902A00201-11     783567       35 402642                     10.0          9.0          0.0
G0902A00201-11     783567       40 402642                     10.0          9.0          0.0
G0902A00202-11     783580        3 402644-R05                 12.0         12.0          0.0
G0902A00202-11     783580        5 402644-R05                 12.0         12.0          0.0
G0902A00202-11     783577       15 402644                     12.0         12.0          0.0
G0902A00202-11     783577       20 402644                     12.0         12.0          0.0
G0902A00202-11     783577       23 402644                     12.0         12.0          0.0
G0902A00202-11     783577       25 402644                     12.0         12.0          0.0
G0902A00202-11     783577       30 402644                     12.0         12.0          0.0
G0902A00202-11     783577       35 402644                     12.0         12.0          0.0
G0902A00202-11     783577       40 402644                     12.0         12.0          0.0
G0902A00204-11     783983        5 32-420160                  11.0         11.0          0.0
G0902A00204-11     783983        7 32-420160                  11.0         11.0          0.0
G0902A00204-11     783983       12 32-420160                  11.0         11.0          0.0
G0902A00204-11     783983       20 32-420160                  11.0          0.0          0.0
G0902A00212-11     784326        5 32-420141-R05              10.0         10.0          0.0
G0902A00212-11     784325        8 32-420141-R08              10.0         10.0          0.0
G0902A00212-11     784324       10 32-420141-R10              10.0         10.0          0.0
G0902A00212-11     784323       25 32-420141-R12              10.0         10.0          0.0
G0902A00212-11     784322       15 32-420141-R15              10.0         10.0          0.0
G0902A00212-11     784321       37 32-420141                  10.0         10.0          0.0
G0902A00212-11     784321       40 32-420141                  10.0         10.0          0.0
G0902A00212-11     784321       45 32-420141                  10.0         10.0          0.0
G0902A00212-11     784321       50 32-420141                  10.0         10.0          0.0
G0902A00212-11     784321       55 32-420141                  10.0          0.0          0.0
G0902A00233-11     787283        1 32-4855-21-00-R05          24.0         24.0          0.0
G0902A00233-11     787283        2 32-4855-21-00-R05          24.0         24.0          0.0
G0902A00233-11     787283        5 32-4855-21-00-R05          24.0         24.0          0.0
G0902A00233-11     787282       10 32-485521                  24.0         24.0          0.0
G0902A00233-11     787282       15 32-485521                  24.0         24.0          0.0
G0902A00233-11     787282       20 32-485521                  24.0         24.0          0.0
G0902A00233-11     787282       25 32-485521                  24.0         24.0          0.0
G0902A00233-11     787282       32 32-485521                  24.0         24.0          0.0
G0902A00233-11     787282       33 32-485521                  24.0          0.0          0.0
G0902A00233-11     787282       40 32-485521                  24.0          0.0          0.0
G0902A00233-11     787282       45 32-485521                  24.0          0.0          0.0
G0902A00233-11     787282       50 32-485521                  24.0          0.0          0.0
G0902A00237-21     787298        5 UK32-485550-1-R05          30.0         30.0          0.0
G0902A00237-21     787297        8 UK32-485550-1-R06          30.0         30.0          0.0
G0902A00237-21     787296        9 UK32-485550-1-R07          30.0         30.0          0.0
G0902A00237-21     787295        5 UK32-485550-1-R08          30.0         30.0          0.0
G0902A00237-21     787295       10 UK32-485550-1-R08          30.0          0.0          0.0
G0902A00237-21     787293       12 UK32-485550-1-R10          30.0         30.0          0.0
G0902A00237-21     787292       15 UK32-485550-1-R15          30.0          8.0          0.0
G0902A00237-21     787291       18 UK32-485550-1-R18          30.0          0.0          0.0
G0902A00237-21     787289       25 UK32-485550-1              30.0          0.0          0.0
G0902A00237-21     787289       33 UK32-485550-1              30.0          0.0          0.0
G0902A00237-21     787289       34 UK32-485550-1              30.0          0.0          0.0
G0902A00237-21     787289       35 UK32-485550-1              30.0          0.0          0.0
G0902A00237-21     787289       50 UK32-485550-1              30.0          0.0          0.0
G0902A00237-21     787289       55 UK32-485550-1              30.0          0.0          0.0
G0902A00237-22     787306        5 UK32-485550-1-R05          34.0         34.0          0.0
G0902A00237-22     787305        8 UK32-485550-1-R06          34.0         34.0          0.0
G0902A00237-22     787304        9 UK32-485550-1-R07          34.0         34.0          0.0
G0902A00237-22     787303        5 UK32-485550-1-R08          34.0         34.0          0.0
G0902A00237-22     787303       10 UK32-485550-1-R08          34.0          0.0          0.0
G0902A00237-22     787302       12 UK32-485550-1-R10          34.0         29.0          5.0
G0902A00237-22     787301       15 UK32-485550-1-R15          29.0         27.0          2.0
G0902A00237-22     787300       18 UK32-485550-1-R18          27.0         27.0          0.0
G0902A00237-22     787299       25 UK32-485550-1              27.0         27.0          0.0
G0902A00237-22     787299       33 UK32-485550-1              27.0         27.0          0.0
G0902A00237-22     787299       34 UK32-485550-1              27.0         27.0          0.0
