#def REPORTPATH=$/QAD Addons/BI Report/xxpcinbt
#def :end
"地点";"库位";"零件";"批序号";"参考号";"标准系统数量";"期间成本数量";"数量差异"
"1000";"";"4.05.01.11.04.00";"";"";23;23;0
"1000";"";"4.05.01.11.05.00";"";"";23;23;0
"1000";"";"4.05.01.12.01.00";"";"";23;23;0
"1000";"";"4.05.01.12.02.00";"";"";23;23;0
"1000";"";"4.05.01.12.03.00";"";"";23;23;0
"1000";"";"4.05.01.12.04.00";"";"";23;23;0
"1000";"";"4.05.01.12.05.00";"";"";23;23;0
"1000";"";"4.05.01.12.06.00";"";"";23;23;0
"1000";"";"4.05.01.12.07.00";"";"";23;23;0
"1000";"";"4.05.01.17.01.00";"";"";23;23;0
"1000";"";"4.05.01.17.02.00";"";"";23;23;0
"1000";"";"4.05.01.21.01.00";"";"";23;23;0
"1000";"";"4.05.02.02.01.00";"";"";962;962;0
"1000";"";"4.05.02.02.02.00";"";"";962;962;0
"1000";"";"4.05.02.02.03.00";"";"";962;962;0
"1000";"";"4.05.02.02.04.00";"";"";962;962;0
"1000";"";"4.05.02.02.05.00";"";"";481;481;0
"1000";"";"4.05.02.02.06.00";"";"";481;481;0
"1000";"";"4.05.02.02.07.00";"";"";481;481;0
"1000";"";"4.05.02.02.08.00";"";"";481;481;0
"1000";"";"4.05.02.03.05.00";"";"";481;481;0
"1000";"";"4.05.02.03.06.00";"";"";481;481;0
"1000";"";"4.05.02.03.07.00";"";"";481;481;0
"1000";"";"4.05.02.03.08.00";"";"";481;481;0
"1000";"";"4.05.02.08.01.00";"";"";962;962;0
"1000";"";"4.05.02.08.02.00";"";"";962;962;0
"1000";"";"4.05.02.08.03.00";"";"";481;481;0
"1000";"";"4.05.02.08.04.00";"";"";481;481;0
"1000";"";"4.05.02.08.05.00";"";"";481;481;0
"1000";"";"4.05.02.09.03.00";"";"";481;481;0
"1000";"";"4.05.02.09.04.00";"";"";481;481;0
"1000";"";"4.05.02.09.05.00";"";"";481;481;0
"1000";"";"4.05.02.11.01.00";"";"";481;481;0
"1000";"";"4.05.02.11.02.00";"";"";481;481;0
"1000";"";"4.05.02.11.03.00";"";"";481;481;0
"1000";"";"4.05.02.11.04.00";"";"";481;481;0
"1000";"";"4.05.02.11.05.00";"";"";481;481;0
"1000";"";"4.05.02.12.01.00";"";"";481;481;0
"1000";"";"4.05.02.12.02.00";"";"";481;481;0
"1000";"";"4.05.02.12.03.00";"";"";481;481;0
"1000";"";"4.05.02.12.04.00";"";"";481;481;0
"1000";"";"4.05.02.12.05.00";"";"";481;481;0
"1000";"";"4.05.02.12.06.00";"";"";481;481;0
"1000";"";"4.05.02.12.07.00";"";"";481;481;0
"1000";"";"4.05.02.21.01.00";"";"";481;481;0
"1000";"";"4.06.02.03.01.00";"";"";2;2;0
"1000";"";"4.06.02.03.02.00";"";"";1;1;0
"1000";"";"4.06.02.08.01.00";"";"";1;1;0
"1000";"";"4.06.02.08.02.00";"";"";1;1;0
"1000";"";"4.06.02.08.03.00";"";"";1;1;0
"1000";"";"4.06.02.08.04.00";"";"";1;1;0
"1000";"";"4.06.02.08.05.00";"";"";1;1;0
"1000";"";"4.06.02.09.03.00";"";"";1;1;0
"1000";"";"4.06.02.09.04.00";"";"";1;1;0
"1000";"";"4.06.02.11.02.00";"";"";1;1;0
"1000";"";"4.06.02.11.03.00";"";"";1;1;0
"1000";"";"4.06.02.11.04.00";"";"";1;1;0
"1000";"";"4.06.02.12.02.00";"";"";1;1;0
"1000";"";"4.06.02.12.03.00";"";"";1;1;0
"1000";"";"4.06.02.17.01.00";"";"";1;1;0
"1000";"";"4.06.02.17.02.00";"";"";1;1;0
"1000";"";"4.06.02.18.01.00";"";"";10080;10080;0
"1000";"";"4.06.02.18.02.00";"";"";10080;10080;0
"1000";"";"4.06.02.18.03.00";"";"";10080;10080;0
"1000";"";"4.06.02.18.04.00";"";"";10080;10080;0
"1000";"";"4.06.02.18.05.00";"";"";10080;10080;0
"1000";"";"4.06.02.18.06.00";"";"";10080;10080;0
"1000";"";"4.06.02.18.07.00";"";"";5040;5040;0
"1000";"";"4.06.02.18.08.00";"";"";5040;5040;0
"1000";"";"4.06.02.18.09.00";"";"";5040;5040;0
