#def REPORTPATH=$/QAD Addons/BI Report/xxpctrrr
#def :end
"年份";"期间";"地点代码";"地点说明";"件号";"件名";"事务类型";"数量";"不计成本数量";"计算成本数量";"标准系统数量";"数量差异"
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.04";"81131-SWA7-A010-33-0000 不织布 H25 X L460";"ISS-TR";-23282;0;-23282;-23282;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.04";"81131-SWA7-A010-33-0000 不织布 H25 X L460";"ISS-WO";-8780;0;-8780;-8780;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.04";"81131-SWA7-A010-33-0000 不织布 H25 X L460";"RCT-PO";8000;0;8000;8000;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.04";"81131-SWA7-A010-33-0000 不织布 H25 X L460";"RCT-TR";23282;0;23282;23282;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.05";"81131-SWA7-A010-31-0000 不织布H25 X L320";"ISS-TR";-8375;0;-8375;-8375;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.05";"81131-SWA7-A010-31-0000 不织布H25 X L320";"ISS-WO";-4390;0;-4390;-4390;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.05";"81131-SWA7-A010-31-0000 不织布H25 X L320";"RCT-TR";8375;0;8375;8375;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.06";"81131-SWA7-A010-32-0000 不织布H25 X L305";"ISS-TR";-12150;0;-12150;-12150;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.06";"81131-SWA7-A010-32-0000 不织布H25 X L305";"ISS-WO";-4390;0;-4390;-4390;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.06";"81131-SWA7-A010-32-0000 不织布H25 X L305";"RCT-PO";4000;0;4000;4000;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.06";"81131-SWA7-A010-32-0000 不织布H25 X L305";"RCT-TR";12150;0;12150;12150;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.07";"82121-SWA7-A010-31-0000 不织布 H30 X L300";"ISS-TR";-11300;0;-11300;-11300;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.07";"82121-SWA7-A010-31-0000 不织布 H30 X L300";"ISS-WO";-5020;0;-5020;-5020;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.07";"82121-SWA7-A010-31-0000 不织布 H30 X L300";"RCT-TR";11300;0;11300;11300;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.10";"82121-SWA7-A010-32-0000 不织布H30 X L250";"ISS-TR";-20124;0;-20124;-20124;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.10";"82121-SWA7-A010-32-0000 不织布H30 X L250";"ISS-WO";-8594;0;-8594;-8594;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.10";"82121-SWA7-A010-32-0000 不织布H30 X L250";"RCT-PO";8000;0;8000;8000;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.10";"82121-SWA7-A010-32-0000 不织布H30 X L250";"RCT-TR";20124;0;20124;20124;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.13";"82131-SWA7-A010-35-0000 不织布 H30 X L300";"ISS-TR";-9410;0;-9410;-9410;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.13";"82131-SWA7-A010-35-0000 不织布 H30 X L300";"ISS-WO";-4288;0;-4288;-4288;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.13";"82131-SWA7-A010-35-0000 不织布 H30 X L300";"RCT-PO";4000;0;4000;4000;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.13";"82131-SWA7-A010-35-0000 不织布 H30 X L300";"RCT-TR";9410;0;9410;9410;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.16";"82131-SWA7-A010-31-0000 不织布H30 X L270";"ISS-TR";-9384;0;-9384;-9384;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.16";"82131-SWA7-A010-31-0000 不织布H30 X L270";"ISS-WO";-4288;0;-4288;-4288;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.16";"82131-SWA7-A010-31-0000 不织布H30 X L270";"RCT-PO";4000;0;4000;4000;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.16";"82131-SWA7-A010-31-0000 不织布H30 X L270";"RCT-TR";9384;0;9384;9384;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.17";"82131-SWA7-A010-34-0001 不织布H30 X L355";"ISS-TR";-5932;0;-5932;-5932;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.17";"82131-SWA7-A010-34-0001 不织布H30 X L355";"ISS-WO";-2501;0;-2501;-2501;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.17";"82131-SWA7-A010-34-0001 不织布H30 X L355";"RCT-TR";5932;0;5932;5932;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.18";"82131-SWA7-A010-32-0000 不织布H30 X L220";"ISS-TR";-4368;0;-4368;-4368;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.18";"82131-SWA7-A010-32-0000 不织布H30 X L220";"ISS-WO";-1253;0;-1253;-1253;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.18";"82131-SWA7-A010-32-0000 不织布H30 X L220";"RCT-TR";4368;0;4368;4368;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.19";"82531-SWA7-A010-33-0000 不织布H45 X L145";"ISS-TR";-4260;0;-4260;-4260;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.19";"82531-SWA7-A010-33-0000 不织布H45 X L145";"ISS-WO";-2144;0;-2144;-2144;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.19";"82531-SWA7-A010-33-0000 不织布H45 X L145";"RCT-PO";2000;0;2000;2000;0
