#def REPORTPATH=$/QAD Addons/BI Report/xxpcwor
#def :end
"年份";"期间";"地点代码";"地点说明";"件号";"件名";"加工单";"期初数量";"期间增加数量";"期间入库数量";"期间报废数量";"期末数量";"期间不计成本报废数量";"期间计算成本报废数量";"期间入库比例";"期间计算成本报废成本"
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.02.00";"2RW-690色FB/L部位 ";"28289";0;72;72;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.02.00";"2RW-690色FB/L部位 ";"28430";0;36;36;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.02.00";"2RW-690色FB/L部位 ";"28526";0;42;42;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.02.00";"2RW-690色FB/L部位 ";"28615";0;42;42;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.02.00";"2RW-690色FB/L部位 ";"28717";0;48;48;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.02.00";"2RW-690色FB/L部位 ";"28729";0;78;78;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.02.00";"2RW-690色FB/L部位 ";"28742";0;36;36;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.02.00";"2RW-690色FB/L部位 ";"28755";0;90;90;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.02.00";"2RW-690色FB/L部位 ";"28876";0;36;36;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.02.00";"2RW-690色FB/L部位 ";"28893";0;42;42;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.02.00";"2RW-690色FB/L部位 ";"29260";0;50;50;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.03.00";"2RW-690色FB/R部位 ";"26371";0;66;66;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.03.00";"2RW-690色FB/R部位 ";"27169";0;6;6;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.03.00";"2RW-690色FB/R部位 ";"28181";0;84;84;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.03.00";"2RW-690色FB/R部位 ";"28192";0;84;84;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.03.00";"2RW-690色FB/R部位 ";"28233";0;42;42;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.03.00";"2RW-690色FB/R部位 ";"28287";0;66;66;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.03.00";"2RW-690色FB/R部位 ";"28428";0;36;36;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.03.00";"2RW-690色FB/R部位 ";"28524";0;42;42;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.03.00";"2RW-690色FB/R部位 ";"28616";0;54;54;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.03.00";"2RW-690色FB/R部位 ";"28718";0;36;36;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.03.00";"2RW-690色FB/R部位 ";"28730";0;78;78;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.03.00";"2RW-690色FB/R部位 ";"28743";0;6;6;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.03.00";"2RW-690色FB/R部位 ";"28756";0;120;120;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.03.00";"2RW-690色FB/R部位 ";"28877";0;30;30;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.03.00";"2RW-690色FB/R部位 ";"29185";0;48;48;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.03.00";"2RW-690色FB/R部位 ";"29371";0;50;50;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.05.00";"2RW-690色FC/L部位 ";"26760";0;78;78;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.05.00";"2RW-690色FC/L部位 ";"27171";0;36;36;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.05.00";"2RW-690色FC/L部位 ";"28184";0;54;54;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.05.00";"2RW-690色FC/L部位 ";"28195";0;66;66;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.05.00";"2RW-690色FC/L部位 ";"28242";0;48;48;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.05.00";"2RW-690色FC/L部位 ";"28300";0;72;72;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.05.00";"2RW-690色FC/L部位 ";"28432";0;30;30;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.05.00";"2RW-690色FC/L部位 ";"28528";0;48;48;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.05.00";"2RW-690色FC/L部位 ";"28618";0;54;54;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.05.00";"2RW-690色FC/L部位 ";"28724";0;48;48;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.05.00";"2RW-690色FC/L部位 ";"28732";0;48;48;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.05.00";"2RW-690色FC/L部位 ";"28745";0;54;54;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.05.00";"2RW-690色FC/L部位 ";"28758";0;60;60;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.05.00";"2RW-690色FC/L部位 ";"28879";0;54;54;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.05.00";"2RW-690色FC/L部位 ";"29187";0;54;54;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.05.00";"2RW-690色FC/L部位 ";"29373";0;44;44;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.06.00";"2RW-690色FC/R部位 ";"26759";0;70;70;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.06.00";"2RW-690色FC/R部位 ";"27170";0;40;40;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.06.00";"2RW-690色FC/R部位 ";"28183";0;50;50;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.06.00";"2RW-690色FC/R部位 ";"28194";0;70;70;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.06.00";"2RW-690色FC/R部位 ";"28240";0;50;50;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.06.00";"2RW-690色FC/R部位 ";"28299";0;70;70;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.06.00";"2RW-690色FC/R部位 ";"28431";0;30;30;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.06.00";"2RW-690色FC/R部位 ";"28527";0;50;50;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.06.00";"2RW-690色FC/R部位 ";"28617";0;50;50;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.06.00";"2RW-690色FC/R部位 ";"28720";0;50;50;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.06.00";"2RW-690色FC/R部位 ";"28731";0;50;50;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.06.00";"2RW-690色FC/R部位 ";"28744";0;60;60;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.06.00";"2RW-690色FC/R部位 ";"28757";0;50;50;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.06.00";"2RW-690色FC/R部位 ";"28878";0;60;60;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.06.00";"2RW-690色FC/R部位 ";"29186";0;50;50;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.06.00";"2RW-690色FC/R部位 ";"29372";0;48;48;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.08.00";"2RW-690色RB/L部位 ";"27153";0;24;24;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.08.00";"2RW-690色RB/L部位 ";"27740";0;114;114;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.08.00";"2RW-690色RB/L部位 ";"28187";0;24;24;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.08.00";"2RW-690色RB/L部位 ";"28199";0;42;42;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.08.00";"2RW-690色RB/L部位 ";"28282";0;78;78;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.08.00";"2RW-690色RB/L部位 ";"28302";0;66;66;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.08.00";"2RW-690色RB/L部位 ";"28434";0;6;6;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.08.00";"2RW-690色RB/L部位 ";"28530";0;72;72;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.08.00";"2RW-690色RB/L部位 ";"28673";0;54;54;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.08.00";"2RW-690色RB/L部位 ";"28723";0;54;54;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.08.00";"2RW-690色RB/L部位 ";"28734";0;24;24;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.08.00";"2RW-690色RB/L部位 ";"28747";0;84;84;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.14.12.08.00";"2RW-690色RB/L部位 ";"28873";0;78;78;0;0;0;0;1;0
