#def REPORTPATH=$/QAD Addons/BI Report/xxpctrcz
#def :end
2009;10;¼þ;¼þ;ÆÚ³õ;;;Ôö¼ÓºÏ¼Æ;;;ISS-UNP;;;RCT-PO;;;RCT-TR;;;RCT-WO;;;¼õÉÙºÏ¼Æ;;;ISS-PRV;;;ISS-SO;;;ISS-TR;;;ISS-UNP;;;ISS-WO;;;RCT-PO;;;ÆÚÄ©;;
2009;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;10;ºÅ;Ãû;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É
2009;10;2.14.12.13.00; ;0;0;0;2280;0;0;0;0;0;0;0;0;1440;0;0;840;0;0;-2040;0;0;0;0;0;-600;0;0;-1440;0;0;0;0;0;0;0;0;0;0;0;240;0;0
2009;10;2.14.12.14.00; ;0;0;0;2280;0;0;0;0;0;0;0;0;1440;0;0;840;0;0;-2040;0;0;0;0;0;-600;0;0;-1440;0;0;0;0;0;0;0;0;0;0;0;240;0;0
2009;10;2.14.12.15.00; ;0;0;0;2280;0;0;0;0;0;0;0;0;1440;0;0;840;0;0;-2040;0;0;0;0;0;-600;0;0;-1440;0;0;0;0;0;0;0;0;0;0;0;240;0;0
2009;10;2.14.12.16.00; ;0;0;0;2280;0;0;0;0;0;0;0;0;1440;0;0;840;0;0;-2040;0;0;0;0;0;-600;0;0;-1440;0;0;0;0;0;0;0;0;0;0;0;240;0;0
2009;10;2.14.12.17.00; ;0;0;0;2280;0;0;0;0;0;0;0;0;1440;0;0;840;0;0;-2040;0;0;0;0;0;-600;0;0;-1440;0;0;0;0;0;0;0;0;0;0;0;240;0;0
2009;10;2.16.01.02.00;81521-SWW7-E510-M1-0003 81521-SWW7-E510-M1-0003;125;0;0;321;0;0;0;0;0;0;0;0;229;0;0;92;0;0;-391;0;0;0;0;0;-162;0;0;-229;0;0;0;0;0;0;0;0;0;0;0;55;0;0
2009;10;2.16.01.03.00;81121-SWW7-E510-M1-0003 81121-SWW7-E510-M1-0003;125;0;0;321;0;0;0;0;0;0;0;0;229;0;0;92;0;0;-391;0;0;0;0;0;-162;0;0;-229;0;0;0;0;0;0;0;0;0;0;0;55;0;0
2009;10;2.16.01.05.00;81531-SWW7-E510-M1-0003 81531-SWW7-E510-M1-0003;125;0;0;321;0;0;0;0;0;0;0;0;229;0;0;92;0;0;-391;0;0;0;0;0;-162;0;0;-229;0;0;0;0;0;0;0;0;0;0;0;55;0;0
2009;10;2.16.01.06.00;81131-SWW7-E510-M1-0003 81131-SWW7-E510-M1-0003;125;0;0;321;0;0;0;0;0;0;0;0;229;0;0;92;0;0;-391;0;0;0;0;0;-162;0;0;-229;0;0;0;0;0;0;0;0;0;0;0;55;0;0
2009;10;2.16.01.08.00T;82521-SWW7-E210-M1-0002 82521-SWW7-E210-M1-0002;253;0;0;702;0;0;0;0;0;0;0;0;518;0;0;184;0;0;-872;0;0;0;0;0;-354;0;0;-518;0;0;0;0;0;0;0;0;0;0;0;83;0;0
