xxmgmer2.p 0905                         15.1           36.25.99.3 ²Ëµ¥ÏµÍ³±¨±í                                        ÈÕÆÚ: 11/03/07
Ò³:      1                                            ¹ãÖÝÕÑºÍÆû³µÁã²¿¼þÓÐÏÞ¹«Ë¾                                      Ê±¼ä: 11:25:19
"mnt_lang"	"mnd_nbr"	"mnd_select"	"mnd_label"	"mnd_name"	"mnd_exec"	"mnd_help"
"US"	"1.9.26"	5	"Direct Item Master Access"	""	"ecmt05.p"	""
"US"	"1.9.26"	6	"Add/Modify/Delete PCO Items"	""	"ecmt06.p"	""
"US"	"1.9.26"	7	"Edit Product Structures/Formulas"	""	"ecmt07.p"	""
"US"	"1.9.26"	8	"Copy Structure/Formula into PCO"	""	"ecmt08.p"	""
"US"	"1.9.26"	9	"Copy Where-Used into PCO"	""	"ecmt09.p"	""
"US"	"1.9.26"	10	"Replace Structure/Formula Compnt"	""	"ecmt10.p"	""
"US"	"1"	10	"Price List and Discount Menu"	""	"1.10"	""
"US"	"1.10"	1	"SO/SQ/RMA Issues Pricing Menu"	""	"1.10.1"	""
"US"	"1.10.1"	1	"Price List Maintenance"	""	"1.10.1.1"	"pppimt.hlp"
"US"	"1.10.1"	2	"Price List Inquiry"	""	"pppiiq01.p"	"pppiiq01.hlp"
"US"	"1.10.1"	3	"Price List Report"	""	"pppirp01.p"	"pppirp01.hlp"
"US"	"1.10.1"	5	"Price Lists by Customer Inq"	""	"pppiiq02.p"	"pppiiq02.hlp"
"US"	"1.10.1"	6	"Price Lists by Item Inquiry"	""	"pppiiq03.p"	"pppiiq03.hlp"
"US"	"1.10.1"	8	"Price List Copy"	""	"pppicp.p"	"pppicp.hlp"
"US"	"1.10.1"	13	"Pricing What-If Inquiry (S/O)"	""	"sopiwiiq.p"	"sopiwiip.hlp"
"US"	"1.10.1"	15	"Cust Orders by Price List Inq"	""	"pppiiq04.p"	"pppiiq04.hlp"
"US"	"1.10.1"	17	"Sales Order Price Inquiry"	""	"soppiq.p"	"soppiq.hlp"
"US"	"1.10.1"	18	"Sales Quote Price Inquiry"	""	"sqppiq.p"	"sqppiq.hlp"
"US"	"1.10.1"	24	"Pricing Control"	""	"pppipm.p"	"pppipm.hlp"
"US"	"1.10.1"	25	"SO/SQ/RMA Pricing Utilities"	""	"1.10.1.25"	""
"US"	"1.10.1.25"	1	"Del Stranded Pricing Hist of SQ"	""	"uxpihdel.p"	""
"US"	"1.10"	2	"PO/RTS/Sched/RMA Rcpt Price Menu"	""	"1.10.2"	""
xxmgmer2.p 0905                         15.1           36.25.99.3 ²Ëµ¥ÏµÍ³±¨±í                                        ÈÕÆÚ: 11/03/07
Ò³:      4                                            ¹ãÖÝÕÑºÍÆû³µÁã²¿¼þÓÐÏÞ¹«Ë¾                                      Ê±¼ä: 11:25:20
"US"	"1.10.2"	1	"Price List Maintenance"	""	"1.10.2.1"	"pppcmt.hlp"
"US"	"1.10.2"	2	"Price List Browse"	""	"ppbr003.p"	"pppciq.hlp"
"US"	"1.10.2"	3	"Price List Report"	""	"pppcrp.p"	"pppcrp.hlp"
"US"	"1.10.2"	4	"Price List By Item Report"	""	"pppcrp01.p"	"pppcrp01.hlp"
"US"	"1.10.2"	5	"Price List Copy"	""	"pppccp.p"	"pppccp.hlp"
"US"	"1.10.2"	6	"Price List Generation By Item"	""	"pppcptup.p"	"pppcptup.hlp"
"US"	"1.10"	13	"Volume Discount Maintenance"	""	"sosdmt.p"	"sosdmt.hlp"
"US"	"1.10"	14	"Volume Discount Browse"	""	"sobr008.p"	"sosdiq.hlp"
"US"	"1"	12	"Master Comment Maintenance"	""	"gpcmmt.p"	"gpcmmt.hlp"
"US"	"1"	13	"Unit of Measure Maintenance"	""	"ppummt.p"	"ppummt.hlp"
"US"	"1"	14	"Unit of Measure Browse"	""	"ppbr021.p"	"ppumiq.hlp"
"US"	"1"	16	"Customer Item Maintenance"	""	"1.16"	""
"US"	"1"	17	"Customer Item Browse"	""	"ppbr001.p"	"ppcpiq.hlp"
"US"	"1"	18	"Customer Item Report"	""	"ppcprp.p"	""
"US"	"1"	19	"Supplier Item Maintenance"	""	"ppvpmt.p"	"ppvpmp.hlp"
"US"	"1"	20	"Supplier Item Browse"	""	"ppbr022.p"	"ppvpiq.hlp"
"US"	"1"	21	"Supplier Item Report"	""	"ppvprp.p"	"ppvprp.hlp"
"US"	"1"	22	"Compliance Menu"	""	"1.22"	""
"US"	"1.22"	1	"Lot Master Maintenance"	""	"clltmt.p"	""
"US"	"1.22"	2	"Lot Master Inquiry"	""	"icltmiq.p"	""
"US"	"1.22"	4	"Work Order Attribute Maintenance"	""	"clatmt.p"	""
"US"	"1.22"	5	"Work Order Attribute Browse"	""	"clbr001.p"	""
"US"	"1.22"	9	"Work Order Batch Browse"	""	"clbr002.p"	""
"US"	"1.22"	13	"Lot Group Maintenance"	""	"cllgmt.p"	""
"US"	"1.22"	14	"Lot Group Inquiry"	""	"cllgiq.p"	""
"US"	"1.22"	16	"Controlled Substances Menu"	""	"1.22.16"	""
"US"	"1.22.16"	1	"Controlled Authority Maintenance"	""	"clctamt.p"	""
"US"	"1.22.16"	2	"Controlled Authority Inquiry"	""	"clctaiq.p"	""
"US"	"1.22.16"	4	"Controlled Customer Maintenance"	""	"clctcmt.p"	""
"US"	"1.22.16"	5	"Controlled Customer Browse"	""	"clbr003.p"	""
"US"	"1.22.16"	7	"Controlled Site Maintenance"	""	"clctsmt.p"	""
"US"	"1.22.16"	8	"Controlled Site Browse"	""	"clbr004.p"	""
"US"	"1.22.16"	10	"Controlled Item Maintenance"	""	"clctpmt.p"	""
"US"	"1.22.16"	11	"Controlled Item Report"	""	"clctprp.p"	""
"US"	"1.22.16"	13	"General License Maintenance"	""	"clglimt.p"	""
"US"	"1.22.16"	14	"General License Report"	""	"clglirp.p"	""
"US"	"1.22.16"	16	"Individual License Maintenance"	""	"clilimt.p"	""
"US"	"1.22.16"	17	"Individual License Master Report"	""	"clilirp.p"	""
"US"	"1.22"	19	"Multi-Lot Inven. Detail Update"	""	"clltamt.p"	""
"US"	"1.22"	22	"Lot Master Build"	""	"clltbd.p"	""
"US"	"1.22"	23	"Lot Master Delete/Archive"	""	"clltup.p"	""
"US"	"1.22"	24	"Compliance Control"	""	"clclpm.p"	""
"US"	"0"	2	"Addresses/Taxes"	""	"2"	""
"US"	"2"	1	"Customers Menu"	""	"2.1"	""
"US"	"2.1"	1	"Customer Maintenance"	""	"adcsmt.p"	"adcsmt.hlp"
"US"	"2.1"	2	"Customer Browse"	""	"adbr001.p"	"adcsiq.hlp"
"US"	"2.1"	3	"Customer Address Report"	""	"adcsrp.p"	"adcsrp.hlp"
"US"	"2.1"	4	"Customer Master Report"	""	"adcsrp01.p"	"adcsrp01.hlp"
"US"	"2.1"	5	"Customer Labels Print"	""	"adcsrp02.p"	"adcsrp02.hlp"
"US"	"2.1"	7	"Customer Credit Limit Adjustment"	""	"adcscr.p"	"adcscr.hlp"
"US"	"2.1"	9	"Reserved Location Menu"	""	"2.1.9"	""
"US"	"2.1.9"	1	"Reserved Location Maintenance"	""	"adrlmt.p"	"adrlmt.hlp"
"US"	"2.1.9"	2	"Reserved Location Browse"	""	"icbr013.p"	"icbr013.hlp"
"US"	"2.1.9"	3	"Reserved Location Report"	""	"adrlrp.p"	"adrlrp.hlp"
"US"	"2.1.9"	5	"Detail Alloc Inventory Inquiry"	""	"icrliq.p"	""
"US"	"2.1.9"	6	"Detail Alloc Inventory Report"	""	"icrlrp.p"	"icrlrp.hlp"
"US"	"2.1"	12	"Master Comment Maintenance"	""	"gpcmmt.p"	"gpcmmt.hlp"
"US"	"2.1"	13	"Customer Ship-to Maintenance"	""	"adstmt.p"	"adstmt.hlp"
xxmgmer2.p 0905                         15.1           36.25.99.3 ²Ëµ¥ÏµÍ³±¨±í                                        ÈÕÆÚ: 11/03/07
Ò³:      5                                            ¹ãÖÝÕÑºÍÆû³µÁã²¿¼þÓÐÏÞ¹«Ë¾                                      Ê±¼ä: 11:25:20
"US"	"2.1"	14	"Customer Ship-to Inquiry"	""	"adstiq.p"	"adstiq.hlp"
"US"	"2.1"	15	"Customer Ship-to Address Report"	""	"adstrp.p"	"adstrp.hlp"
"US"	"2.1"	16	"Temporary Ship-To Delete"	""	"adstdl.p"	"adstdl.hlp"
"US"	"2.1"	18	"Salesperson Assignment Report"	""	"adcsrp03.p"	"adcsrp03.hlp"
