xxmgmer2.p 0905                         15.1           36.25.99.3 ²Ëµ¥ÏµÍ³±¨±í                                        ÈÕÆÚ: 11/03/07
Ò³:      1                                            ¹ãÖİÕÑºÍÆû³µÁã²¿¼şÓĞÏŞ¹«Ë¾                                      Ê±¼ä: 11:24:55
"mnt_lang"	"mnd_nbr"	"mnd_select"	"mnd_label"	"mnd_name"	"mnd_exec"	"mnd_help"
"ch"	"1.9.25"	4	"½á¹¹Êı¾İÎ¬»¤"	""	"ecmtb04.p"	"ecmtb04.hlp"
"ch"	"1.9.25"	5	"´«ËÍÊı¾İÎ¬»¤"	""	"ecmtb05.p"	"ecmtb05.hlp"
"ch"	"1.9.25"	6	"ÅäÁÏÊı¾İÎ¬»¤"	""	"ecmtb06.p"	"ecmtb06.hlp"
"ch"	"1.9.25"	7	"¹ı³ÌÊı¾İÎ¬»¤"	""	"ecmtb07.p"	"ecmtb07.hlp"
"ch"	"1.9.25"	8	"Áã¼ş²âÊÔ¼¼ÊõÒªÇóÎ¬»¤"	""	"ecmtb09.p"	"ecmtb09.hlp"
"ch"	"1.9.25"	9	"±¨Î²Î¬»¤"	""	"ecmtb08.p"	"ecmtb08.hlp"
"ch"	"1.9.25"	22	"PCO ½á¹¹/ÅäÁÏ¸üĞÂ"	""	"utecpsfm.p"	""
"ch"	"1.9"	26	"PCO Î¬»¤×Ó¹¦ÄÜ"	""	"1.9.26"	""
"ch"	"1.9.26"	1	"¸Ä±äPCO ºÅ"	""	"ecmt01.p"	""
"ch"	"1.9.26"	2	"¹Ø±Õ/¸´ÖÆ/×ª»»PCO»òPCR"	""	"ecmt02.p"	""
"ch"	"1.9.26"	3	"×ÔÖ÷ËµÃ÷¸´ÖÆÎÄ×Ö"	""	"ecmt03.p"	""
"ch"	"1.9.26"	4	"Ôö¼Ó/ĞŞ¸Ä/É¾³ıPCO ÎÄ×Ö"	""	"ecmt04.p"	""
"ch"	"1.9.26"	5	"Ö±½Ó´æÈ¡Áã¼şÖ÷ÎÄ¼ş"	""	"ecmt05.p"	""
"ch"	"1.9.26"	6	"Ôö¼Ó/ĞŞ¸Ä/É¾³ıPCOÁã¼ş"	""	"ecmt06.p"	""
"ch"	"1.9.26"	7	"±à¼­²úÆ·½á¹¹/ÅäÁÏ"	""	"ecmt07.p"	""
"ch"	"1.9.26"	8	"¸´ÖÆ½á¹¹/ÅäÁÏÈëPCO"	""	"ecmt08.p"	""
"ch"	"1.9.26"	9	"¸´ÖÆËùÓÃÖ®´¦ÖÁPCO"	""	"ecmt09.p"	""
"ch"	"1.9.26"	10	"Ìæ´ú½á¹¹/ÅäÁÏµÄ×ÓÁã¼ş"	""	"ecmt10.p"	""
"ch"	"1"	10	"¼Û¸ñµ¥ºÍÕÛ¿Û²Ëµ¥"	""	"1.10"	""
"ch"	"1.10"	1	"SO/SQ/RMA ³ö¿â¶¨¼Û²Ëµ¥"	""	"1.10.1"	""
"ch"	"1.10.1"	1	"¼Û¸ñµ¥Î¬»¤"	""	"1.10.1.1"	"pppimt.hlp"
"ch"	"1.10.1.1"	1	"¼Û¸ñµ¥Î¬»¤"	""	"pppimt.p"	"pppimt.hlp"
"ch"	"1.10.1.1"	2	"ÏúÊÛ·¢Æ±¼Û¸ñµ¥Î¬»¤[C]"	""	"xxmpi001.p"	""
"ch"	"1.10.1.1"	3	"¼Û¸ñµ¥Î¬»¤[C]"	""	"xxpppimt.p"	"pppimt.hlp"
"ch"	"1.10.1.1"	4	"¼Û¸ñµ¥±¨±í"	""	"xxpprp01.p"	""
"ch"	"1.10.1.1"	5	"ÏúÊÛ·¢Æ±¼Û¸ñµ¥±¨±í"	""	"xxpprp03.p"	""
xxmgmer2.p 0905                         15.1           36.25.99.3 ²Ëµ¥ÏµÍ³±¨±í                                        ÈÕÆÚ: 11/03/07
Ò³:      4                                            ¹ãÖİÕÑºÍÆû³µÁã²¿¼şÓĞÏŞ¹«Ë¾                                      Ê±¼ä: 11:24:55
"ch"	"1.10.1"	2	"¼Û¸ñµ¥²éÑ¯"	""	"pppiiq01.p"	"pppiiq01.hlp"
"ch"	"1.10.1"	3	"¼Û¸ñµ¥±¨±í"	""	"pppirp01.p"	"pppirp01.hlp"
"ch"	"1.10.1"	5	"°´¿Í»§ÅÅĞòµÄ¼Û¸ñµ¥²éÑ¯"	""	"pppiiq02.p"	"pppiiq02.hlp"
"ch"	"1.10.1"	6	"°´Áã¼şºÅÅÅĞòµÄ¼Û¸ñµ¥²éÑ¯"	""	"pppiiq03.p"	"pppiiq03.hlp"
"ch"	"1.10.1"	8	"¼Û¸ñµ¥¸´ÖÆ"	""	"pppicp.p"	"pppicp.hlp"
"ch"	"1.10.1"	13	"¿Í»§¶©µ¥¼Ù¶¨¶©¶¨¼Û²éÑ¯"	""	"sopiwiiq.p"	"sopiwiip.hlp"
"ch"	"1.10.1"	15	"°´¼Û¸ñµ¥ÅÅĞòµÄ¿Í»§¶©µ¥²éÑ¯"	""	"pppiiq04.p"	"pppiiq04.hlp"
"ch"	"1.10.1"	17	"¿Í»§¶©µ¥¼Û¸ñ²éÑ¯"	""	"soppiq.p"	"soppiq.hlp"
"ch"	"1.10.1"	18	"ÏúÊÛ±¨¼Û¼Û¸ñ²éÑ¯"	""	"sqppiq.p"	"sqppiq.hlp"
"ch"	"1.10.1"	24	"¶¨¼Û¿ØÖÆ"	""	"pppipm.p"	"pppipm.hlp"
"ch"	"1.10.1"	25	"SO/SQ/RMA¶¨¼ÛÊµÓÃ³ÌĞò"	""	"1.10.1.25"	""
"ch"	"1.10.1.25"	1	"É¾³ıSQµÄÍ£¶Ù¶¨¼ÛÀúÊ·"	""	"uxpihdel.p"	""
"ch"	"1.10"	2	"PO/RTS/Sched/RMA Èë¿â¼Û¸ñ²Ëµ¥"	""	"1.10.2"	""
"ch"	"1.10.2"	1	"¼Û¸ñµ¥Î¬»¤"	""	"1.10.2.1"	"pppcmt.hlp"
"ch"	"1.10.2.1"	1	"¼Û¸ñµ¥Î¬»¤"	""	"pppcmt.p"	"pppcmt.hlp"
"ch"	"1.10.2.1"	2	"¼Û¸ñµ¥Î¬»¤[C]"	""	"xxpppcmt.p"	"pppcmt.hlp"
"ch"	"1.10.2.1"	3	"¼Û¸ñµ¥²éÑ¯"	""	"xxpprp02.p"	""
"ch"	"1.10.2"	2	"¼Û¸ñµ¥ä¯ÀÀ"	""	"ppbr003.p"	"pppciq.hlp"
"ch"	"1.10.2"	3	"¼Û¸ñµ¥±¨±í"	""	"pppcrp.p"	"pppcrp.hlp"
"ch"	"1.10.2"	4	"°´Áã¼şºÅÅÅĞòµÄ¼Û¸ñµ¥±¨±í"	""	"pppcrp01.p"	"pppcrp01.hlp"
"ch"	"1.10.2"	5	"¼Û¸ñµ¥¸´ÖÆ"	""	"pppccp.p"	"pppccp.hlp"
"ch"	"1.10.2"	6	"°´Áã¼şºÅÅÅĞòÉú³É¼Û¸ñµ¥"	""	"pppcptup.p"	"pppcptup.hlp"
"ch"	"1.10"	13	"ÅúÁ¿ÕÛ¿ÛÎ¬»¤"	""	"sosdmt.p"	"sosdmt.hlp"
"ch"	"1.10"	14	"ÅúÁ¿ÕÛ¿Ûä¯ÀÀ"	""	"sobr008.p"	"sosdiq.hlp"
"ch"	"1"	12	"Ö÷ËµÃ÷Î¬»¤"	""	"gpcmmt.p"	"gpcmmt.hlp"
"ch"	"1"	13	"¼ÆÁ¿µ¥Î»Î¬»¤"	""	"ppummt.p"	"ppummt.hlp"
"ch"	"1"	14	"¼ÆÁ¿µ¥Î»ä¯ÀÀ"	""	"ppbr021.p"	"ppumiq.hlp"
"ch"	"1"	16	"¿Í»§Áã¼şÎ¬»¤"	""	"1.16"	""
"ch"	"1.16"	1	"¿Í»§Áã¼şÎ¬»¤"	""	"ppcpmt.p"	"ppcpmp.hlp"
