帐户;分帐户;成本中心;金额
12431;58012;;0
12431;58013;;0
12431;58014;;0
12431;58016;;0
12431;58017;;0
12431;58018;;0
12431;58019;;0
12431;58020;;0
12431;58021;;0
12431;58401;;0
12431;58402;;0
12431;58408;;0
12431;58411;;0
12431;58413;;0
12431;58703;;0
12431;58704;;0
12431;58991;;0
12431;58992;;0
12432;50011;;0
12432;50013;;0
12432;50014;;0
12432;50015;;0
12432;50021;;0
12432;50022;;0
12432;50025;;0
12432;50031;;0
12432;50035;;0
12432;50045;;0
12432;50051;;0
12432;50052;;0
12432;50055;;0
12432;50061;;0
12432;50062;;0
12432;50065;;0
12432;50066;;0
12432;50071;;0
12432;50072;;0
12432;50073;;0
12432;50074;;0
12432;50081;;0
12432;50082;;0
12432;50083;;0
12432;50131;;0
12432;50146;;0
12432;50147;;0
12432;50148;;0
12432;52011;;0
12432;52012;;0
12432;52021;;0
12432;52022;;0
12432;52023;;0
12432;52024;;0
12432;52025;;0
12432;52041;;0
12432;52042;;0
12432;52043;;0
12432;52051;;0
12432;52052;;0
12432;52053;;0
12432;52054;;0
12432;52055;;0
12432;52071;;0
12432;52073;;0
12432;52075;;0
12432;52081;;0
12432;52082;;0
12432;52085;;0
12432;52091;;0
12432;52092;;0
12432;52093;;0
12432;52094;;0
12432;52095;;0
12432;52101;;0
12432;52102;;0
12432;52103;;0
12432;52104;;0
12432;52105;;0
12432;54061;;0
12432;54091;;0
12432;54121;;0
12432;54131;;0
12432;54141;;0
12432;54151;;0
12432;58007;;0
12432;58012;;0
12432;58013;;0
12432;58014;;0
12432;58016;;0
12432;58017;;0
12432;58018;;0
12432;58019;;0
12432;58020;;0
12432;58021;;0
12432;58402;;0
12432;58408;;0
12432;58411;;0
12432;58413;;0
12432;58992;;0
1243993;;;0
1243999;;;0
12811;;;0
12813;;;0
12814;;;0
13011001;;;0
13011002;;;0
13011003;;;0
13011004;;;0
13012001;;;0
13012002;;;0
13012004;;;0
13012005;;;0
13012009;;;0
13012010;;;0
13012011;;;0
13012012;;;0
13012013;;;0
13012014;;;0
13012015;;;0
13013002;;;0
