#def REPORTPATH=$/QAD Addons/BI Report/xxicaldr
#def :end
"会计单位";"年份";"期间";"零件";"工单";"分配比例";"数量";"基础参数";"乘参数1";"乘参数2";"乘参数3";"除参数1";"除参数2";"除参数3";"单量";"总量";"量比";"成本"
"1000";2009;6;"2.02.05.06.00";"28380";"RGGS";4325.5216;1;1;1;1;1;1;1;1;4325.5216;.0001351073;67.55365
"1000";2009;6;"2.02.05.06.00";"28393";"RGGS";4325.5216;1;1;1;1;1;1;1;1;4325.5216;.0001351073;135.1073
"1000";2009;6;"2.02.05.06.00";"28393";"RGGS";4325.5216;1;1;1;1;1;1;1;1;4325.5216;.0001351073;27.02146
"1000";2009;6;"2.02.05.06.00";"28393";"RGGS";4325.5216;1;1;1;1;1;1;1;1;4325.5216;.0001351073;40.53219
"1000";2009;6;"2.02.05.06.00";"28393";"RGGS";4325.5216;1;1;1;1;1;1;1;1;4325.5216;.0001351073;67.55365
"1000";2009;6;"2.02.05.06.00";"28403";"RGGS";6055.7302;1;1;1;1;1;1;1;1;6055.7302;.0001891503;189.1503
"1000";2009;6;"2.02.05.06.00";"28403";"RGGS";6055.7302;1;1;1;1;1;1;1;1;6055.7302;.0001891503;37.83006
"1000";2009;6;"2.02.05.06.00";"28403";"RGGS";6055.7302;1;1;1;1;1;1;1;1;6055.7302;.0001891503;56.74509
"1000";2009;6;"2.02.05.06.00";"28403";"RGGS";6055.7302;1;1;1;1;1;1;1;1;6055.7302;.0001891503;94.57515
"1000";2009;6;"2.02.05.06.00";"28419";"RGGS";4325.5216;1;1;1;1;1;1;1;1;4325.5216;.0001351073;135.1073
"1000";2009;6;"2.02.05.06.00";"28419";"RGGS";4325.5216;1;1;1;1;1;1;1;1;4325.5216;.0001351073;27.02146
"1000";2009;6;"2.02.05.06.00";"28419";"RGGS";4325.5216;1;1;1;1;1;1;1;1;4325.5216;.0001351073;40.53219
"1000";2009;6;"2.02.05.06.00";"28419";"RGGS";4325.5216;1;1;1;1;1;1;1;1;4325.5216;.0001351073;67.55365
"1000";2009;6;"2.02.05.06.00";"28458";"RGGS";865.1043;1;1;1;1;1;1;1;1;865.1043;.0000270215;27.0215
"1000";2009;6;"2.02.05.06.00";"28458";"RGGS";865.1043;1;1;1;1;1;1;1;1;865.1043;.0000270215;5.4043
"1000";2009;6;"2.02.05.06.00";"28458";"RGGS";865.1043;1;1;1;1;1;1;1;1;865.1043;.0000270215;8.10645
"1000";2009;6;"2.02.05.06.00";"28458";"RGGS";865.1043;1;1;1;1;1;1;1;1;865.1043;.0000270215;13.51075
"1000";2009;6;"2.02.05.06.00";"29196";"RGGS";692.0835;1;1;1;1;1;1;1;1;692.0835;.0000216172;21.6172
"1000";2009;6;"2.02.05.06.00";"29196";"RGGS";692.0835;1;1;1;1;1;1;1;1;692.0835;.0000216172;4.32344
"1000";2009;6;"2.02.05.06.00";"29196";"RGGS";692.0835;1;1;1;1;1;1;1;1;692.0835;.0000216172;6.48516
"1000";2009;6;"2.02.05.06.00";"29196";"RGGS";692.0835;1;1;1;1;1;1;1;1;692.0835;.0000216172;10.8086
"1000";2009;6;"2.02.05.08.00";"28348";"RGGS";9488.0423;1;1;1;1;1;1;1;1;9488.0423;.0002963583;296.3583
"1000";2009;6;"2.02.05.08.00";"28348";"RGGS";9488.0423;1;1;1;1;1;1;1;1;9488.0423;.0002963583;59.27166
"1000";2009;6;"2.02.05.08.00";"28348";"RGGS";9488.0423;1;1;1;1;1;1;1;1;9488.0423;.0002963583;88.90749
"1000";2009;6;"2.02.05.08.00";"28348";"RGGS";9488.0423;1;1;1;1;1;1;1;1;9488.0423;.0002963583;148.17915
"1000";2009;6;"2.02.05.08.00";"28370";"RGGS";15525.8874;1;1;1;1;1;1;1;1;15525.8874;.0004849499;484.9499
"1000";2009;6;"2.02.05.08.00";"28370";"RGGS";15525.8874;1;1;1;1;1;1;1;1;15525.8874;.0004849499;96.98998
"1000";2009;6;"2.02.05.08.00";"28370";"RGGS";15525.8874;1;1;1;1;1;1;1;1;15525.8874;.0004849499;145.48497
"1000";2009;6;"2.02.05.08.00";"28370";"RGGS";15525.8874;1;1;1;1;1;1;1;1;15525.8874;.0004849499;242.47495
"1000";2009;6;"2.02.05.08.00";"28385";"RGGS";1725.0986;1;1;1;1;1;1;1;1;1725.0986;.0000538833;53.8833
"1000";2009;6;"2.02.05.08.00";"28385";"RGGS";1725.0986;1;1;1;1;1;1;1;1;1725.0986;.0000538833;10.77666
"1000";2009;6;"2.02.05.08.00";"28385";"RGGS";1725.0986;1;1;1;1;1;1;1;1;1725.0986;.0000538833;16.16499
"1000";2009;6;"2.02.05.08.00";"28385";"RGGS";1725.0986;1;1;1;1;1;1;1;1;1725.0986;.0000538833;26.94165
"1000";2009;6;"2.02.05.08.00";"28390";"RGGS";8625.493;1;1;1;1;1;1;1;1;8625.493;.0002694166;269.4166
"1000";2009;6;"2.02.05.08.00";"28390";"RGGS";8625.493;1;1;1;1;1;1;1;1;8625.493;.0002694166;53.88332
"1000";2009;6;"2.02.05.08.00";"28390";"RGGS";8625.493;1;1;1;1;1;1;1;1;8625.493;.0002694166;80.82498
"1000";2009;6;"2.02.05.08.00";"28390";"RGGS";8625.493;1;1;1;1;1;1;1;1;8625.493;.0002694166;134.7083
"1000";2009;6;"2.02.05.08.00";"28416";"RGGS";8625.493;1;1;1;1;1;1;1;1;8625.493;.0002694166;269.4166
"1000";2009;6;"2.02.05.08.00";"28416";"RGGS";8625.493;1;1;1;1;1;1;1;1;8625.493;.0002694166;53.88332
"1000";2009;6;"2.02.05.08.00";"28416";"RGGS";8625.493;1;1;1;1;1;1;1;1;8625.493;.0002694166;80.82498
"1000";2009;6;"2.02.05.08.00";"28416";"RGGS";8625.493;1;1;1;1;1;1;1;1;8625.493;.0002694166;134.7083
"1000";2009;6;"2.02.05.08.00";"28418";"RGGS";12075.6902;1;1;1;1;1;1;1;1;12075.6902;.0003771833;377.1833
"1000";2009;6;"2.02.05.08.00";"28418";"RGGS";12075.6902;1;1;1;1;1;1;1;1;12075.6902;.0003771833;75.43666
"1000";2009;6;"2.02.05.08.00";"28418";"RGGS";12075.6902;1;1;1;1;1;1;1;1;12075.6902;.0003771833;113.15499
"1000";2009;6;"2.02.05.08.00";"28418";"RGGS";12075.6902;1;1;1;1;1;1;1;1;12075.6902;.0003771833;188.59165
"1000";2009;6;"2.02.05.08.00";"28454";"RGGS";2587.6479;1;1;1;1;1;1;1;1;2587.6479;.000080825;80.825
"1000";2009;6;"2.02.05.08.00";"28454";"RGGS";2587.6479;1;1;1;1;1;1;1;1;2587.6479;.000080825;16.165
"1000";2009;6;"2.02.05.08.00";"28454";"RGGS";2587.6479;1;1;1;1;1;1;1;1;2587.6479;.000080825;24.2475
"1000";2009;6;"2.02.05.08.00";"28454";"RGGS";2587.6479;1;1;1;1;1;1;1;1;2587.6479;.000080825;40.4125
"1000";2009;6;"2.02.05.09.00";"28347";"RGGS";6566.9906;1;1;1;1;1;1;1;1;6566.9906;.0002051194;205.1194
"1000";2009;6;"2.02.05.09.00";"28347";"RGGS";6566.9906;1;1;1;1;1;1;1;1;6566.9906;.0002051194;41.02388
"1000";2009;6;"2.02.05.09.00";"28347";"RGGS";6566.9906;1;1;1;1;1;1;1;1;6566.9906;.0002051194;61.53582
"1000";2009;6;"2.02.05.09.00";"28347";"RGGS";6566.9906;1;1;1;1;1;1;1;1;6566.9906;.0002051194;102.5597
"1000";2009;6;"2.02.05.09.00";"28369";"RGGS";8954.9871;1;1;1;1;1;1;1;1;8954.9871;.0002797083;279.7083
"1000";2009;6;"2.02.05.09.00";"28369";"RGGS";8954.9871;1;1;1;1;1;1;1;1;8954.9871;.0002797083;55.94166
"1000";2009;6;"2.02.05.09.00";"28369";"RGGS";8954.9871;1;1;1;1;1;1;1;1;8954.9871;.0002797083;83.91249
"1000";2009;6;"2.02.05.09.00";"28369";"RGGS";8954.9871;1;1;1;1;1;1;1;1;8954.9871;.0002797083;139.85415
"1000";2009;6;"2.02.05.09.00";"28384";"RGGS";5969.9914;1;1;1;1;1;1;1;1;5969.9914;.0001864722;186.4722
"1000";2009;6;"2.02.05.09.00";"28384";"RGGS";5969.9914;1;1;1;1;1;1;1;1;5969.9914;.0001864722;37.29444
"1000";2009;6;"2.02.05.09.00";"28384";"RGGS";5969.9914;1;1;1;1;1;1;1;1;5969.9914;.0001864722;55.94166
"1000";2009;6;"2.02.05.09.00";"28384";"RGGS";5969.9914;1;1;1;1;1;1;1;1;5969.9914;.0001864722;93.2361
"1000";2009;6;"2.02.05.09.00";"28389";"RGGS";6566.9906;1;1;1;1;1;1;1;1;6566.9906;.0002051194;205.1194
"1000";2009;6;"2.02.05.09.00";"28389";"RGGS";6566.9906;1;1;1;1;1;1;1;1;6566.9906;.0002051194;41.02388
"1000";2009;6;"2.02.05.09.00";"28389";"RGGS";6566.9906;1;1;1;1;1;1;1;1;6566.9906;.0002051194;61.53582
"1000";2009;6;"2.02.05.09.00";"28389";"RGGS";6566.9906;1;1;1;1;1;1;1;1;6566.9906;.0002051194;102.5597
"1000";2009;6;"2.02.05.09.00";"28415";"RGGS";596.9991;1;1;1;1;1;1;1;1;596.9991;.0000186472;18.6472
